item,mean1,std1,mean2,std2,t,p
1,3879.8883691669253,3466.6172469747803,4402.789699693055,4671.744520786028,-0.40534774654380595,0.6874370342023893
2,4678.334066124027,4131.144847755186,2915.6022374975764,2247.8619745725396,1.7084180336766328,0.0955075657101961
3,8936.321639003203,6437.2418534646,10262.078187734176,6229.524980353339,-0.6701699795202505,0.5066985700743039
4,2796.38757260575,3223.79104413387,2255.1902499411094,2594.829590088747,0.593565783700045,0.556229737043823
5,2495.9168911915594,2745.0960045526763,2190.2948755316565,2935.8159840719295,0.3438836858834842,0.7327809768154863
6,2887.563831064009,2412.7289056525615,2892.476134577523,2730.7532373178437,-0.006092243694496213,0.9951701800722961
7,2984.258839531668,4097.699841633588,1705.2709727321574,1966.6809317619027,1.284017577670416,0.20671180224629854
8,7174.8298005189845,7461.784292880111,8048.630604608112,7435.707427510248,-0.3754748284382806,0.7093418690473251
9,1077.1087940109892,1617.196980176524,1914.964575577588,2281.378308718275,-1.3504465331441535,0.18465756539261305
10,1024.9882529807694,1980.10977954647,1052.3909560907307,2009.857850300876,-0.04395331855578512,0.9651658916484926
11,4721.7350041627515,4202.057669650839,4019.5706190502005,3280.6051018369467,0.5980426149696619,0.5532688314457871
